
 Note: MAC table entries displayed are getting read from software.
 Use the 'hardware-age' keyword to get information related to 'Age' 

 Legend: 
        * - primary entry, G - Gateway MAC, (R) - Routed MAC, O - Overlay MAC
        age - seconds since last seen,+ - primary entry using vPC Peer-Link,
        (T) - True, (F) - False ,  ~~~ - use 'hardware-age' keyword to retrieve age info 
   VLAN     MAC Address      Type      age     Secure NTFY Ports/SWID.SSID.LID
---------+-----------------+--------+---------+------+----+------------------
* 600      0050.5683.37d5    dynamic     ~~~      F    F  Eth5/16
* 600      0050.5683.de45    dynamic     ~~~      F    F  Eth5/16
* 600      0050.5688.aa4d    dynamic     ~~~      F    F  Eth5/30
* 600      0050.5688.f1ac    dynamic     ~~~      F    F  Eth5/16
* 600      0050.5688.f368    dynamic     ~~~      F    F  Eth5/16
* 600      74fe.4820.8f51    dynamic     ~~~      F    F  Eth6/22
* 600      74fe.4820.a990    dynamic     ~~~      F    F  Eth6/22
* 600      f4ce.4684.db20    dynamic     ~~~      F    F  Eth101/1/29
* 604      0050.5683.217e    dynamic     ~~~      F    F  Eth5/16
* 604      0050.5683.3f12    dynamic     ~~~      F    F  Eth5/16
* 604      0050.5683.8a5d    dynamic     ~~~      F    F  Eth5/16
* 604      0050.5683.933d    dynamic     ~~~      F    F  Eth5/16
* 604      0050.5683.a11b    dynamic     ~~~      F    F  Eth5/16
* 604      0050.5683.b304    dynamic     ~~~      F    F  Eth5/16
* 604      0050.5683.b5f1    dynamic     ~~~      F    F  Eth5/16
* 607      0021.f6aa.8e91    dynamic     ~~~      F    F  Eth5/29
* 607      0023.e9ee.7785    dynamic     ~~~      F    F  Po61
* 607      0023.e9ee.7845    dynamic     ~~~      F    F  Po62
* 607      0050.5600.8f50    dynamic     ~~~      F    F  Eth5/20
* 607      0050.5683.0067    dynamic     ~~~      F    F  Eth5/30
* 607      0050.5683.00a6    dynamic     ~~~      F    F  Eth5/15
* 607      0050.5683.00c6    dynamic     ~~~      F    F  Eth5/15
* 607      0050.5683.00d5    dynamic     ~~~      F    F  Eth5/31
* 607      0050.5683.00dd    dynamic     ~~~      F    F  Eth5/15
* 607      0050.5683.0f0d    dynamic     ~~~      F    F  Eth5/15
* 607      0050.5683.0f32    dynamic     ~~~      F    F  Eth5/31
* 607      0050.5683.1b32    dynamic     ~~~      F    F  Eth5/30
* 607      0050.56b7.01b2    dynamic     ~~~      F    F  Eth5/31
* 607      0050.56b7.026b    dynamic     ~~~      F    F  Eth5/30
* 607      0050.56b7.02df    dynamic     ~~~      F    F  Eth5/30
* 607      0050.56b7.02f2    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.0343    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.0799    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.08c4    dynamic     ~~~      F    F  Eth5/30
* 607      0050.56b7.09f7    dynamic     ~~~      F    F  Eth6/19
* 607      0050.56b7.0a06    dynamic     ~~~      F    F  Eth5/31
* 607      0050.56b7.0a20    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.0a31    dynamic     ~~~      F    F  Eth5/31
* 607      0050.56b7.0a32    dynamic     ~~~      F    F  Eth5/30
* 607      0050.56b7.0a9b    dynamic     ~~~      F    F  Eth5/31
* 607      0050.56b7.0ac6    dynamic     ~~~      F    F  Eth5/31
* 607      0050.56b7.0ae5    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.0ae9    dynamic     ~~~      F    F  Eth5/30
* 607      0050.56b7.0af6    dynamic     ~~~      F    F  Eth5/31
* 607      0050.56b7.0af8    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.0b08    dynamic     ~~~      F    F  Eth5/29
* 607      0050.56b7.0b18    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.0b20    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.0b4d    dynamic     ~~~      F    F  Eth5/31
* 607      0050.56b7.0b55    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.0f39    dynamic     ~~~      F    F  Eth5/31
* 607      0050.56b7.141b    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.1646    dynamic     ~~~      F    F  Eth5/31
* 607      0050.56b7.1a3b    dynamic     ~~~      F    F  Eth5/20
* 607      0050.56b7.1a96    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.1aac    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.1d1c    dynamic     ~~~      F    F  Eth5/31
* 607      0050.56b7.1d1e    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.1ee0    dynamic     ~~~      F    F  Eth5/30
* 607      0050.56b7.1f66    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.1fb8    dynamic     ~~~      F    F  Eth5/29
* 607      0050.56b7.2104    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.21df    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.2401    dynamic     ~~~      F    F  Eth5/30
* 607      0050.56b7.258b    dynamic     ~~~      F    F  Eth5/30
* 607      0050.56b7.27f9    dynamic     ~~~      F    F  Eth5/31
* 607      0050.56b7.28a5    dynamic     ~~~      F    F  Eth5/30
* 607      0050.56b7.28bf    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.2928    dynamic     ~~~      F    F  Eth5/30
* 607      0050.56b7.2d15    dynamic     ~~~      F    F  Eth5/30
* 607      0050.56b7.2d4a    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.34b4    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.34f8    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.3623    dynamic     ~~~      F    F  Eth5/31
* 607      0050.56b7.36c3    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.36df    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.3975    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.3ab9    dynamic     ~~~      F    F  Eth5/31
* 607      0050.56b7.3ce6    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.3d60    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.3f03    dynamic     ~~~      F    F  Eth5/31
* 607      0050.56b7.3f5e    dynamic     ~~~      F    F  Eth5/15
* 607      0050.56b7.4141    dynamic     ~~~      F    F  Eth5/31
